Domain,Status,HTTP_Status,Related_CSE,Relation_Score,Match_Types,Title,Favicon_URL,Favicon_HD,RDAP_Org,RDAP_Registrar,Domain_Creation_Date,Hosting_IPs,Content_CSE_Keyword_Count,Content_Phish_Keyword_Count,Semantic_Score
hdfcloanservies.in,inactive,0,,,,,,,,,,,,,
hdfcbank.vip,inactive,0,,,,,,,,,,,,,
gm-sbi.co.in,inactive,0,,,,,,,,,,,,,
3pnb.com,inactive,0,,,,,,,,,,,,,
sbi-tz.com,inactive,0,,,,,,,,,,,,,
nicsys.org,inactive,0,,,,,,,,,,,,,
nichibara.com,inactive,0,,,,,,,,,,,,,
bank-sbi.com,inactive,200,,,,,,,,,,,,,
nicali.us,inactive,200,,,,,,,,,,,,,
sbivr.net,inactive,200,,,,,,,,,,,,,
pnbpr7.bond,inactive,0,,,,,,,,,,,,,
pnbfrw.bond,inactive,0,,,,,,,,,,,,,
pnbrpf.bond,inactive,0,,,,,,,,,,,,,
pnbar9o.sbs,inactive,0,,,,,,,,,,,,,
nic-os.com,inactive,0,,,,,,,,,,,,,
airtel-in.org,inactive,0,,,,,,,,,,,,,
sbisec.org,inactive,0,,,,,,,,,,,,,
sbianalyt.com,inactive,0,,,,,,,,,,,,,
sbikxj.sbs,inactive,0,,,,,,,,,,,,,
pnbit.com,inactive,0,,,,,,,,,,,,,
pjdpnb.sbs,inactive,0,,,,,,,,,,,,,
pnbkgdq.sbs,inactive,0,,,,,,,,,,,,,
sbinins.sbs,inactive,0,,,,,,,,,,,,,
ioclzgw.bond,inactive,0,,,,,,,,,,,,,
pnbbrkc.sbs,inactive,0,,,,,,,,,,,,,
iocl.online,inactive,0,,,,,,,,,,,,,
ioca.ch,inactive,0,,,,,,,,,,,,,
sbisaving.in,inactive,0,,,,,,,,,,,,,
online-iciciprulife.com,inactive,200,,,,,,,,,,,,,
nicali.me,inactive,200,,,,,,,,,,,,,
sbimediaco.com,inactive,200,,,,,,,,,,,,,
sbio.net,inactive,200,,,,,,,,,,,,,
sbivr.com,related,200,SBI,1.5,"URL,SEM,CONTENT,FAV,RDAP",Small Business IVR Telecommunication Services,"https://img1.wsimg.com/isteam/ip/static/pwa-app/logo-default.png/:/rs=w:57,h:57,m",30.0,,146,2025-11-03T00:30:34Z,"76.223.105.230,13.248.243.5",1.0,1.0,0.5217966437339783
nicbbqa.org,inactive,200,,,,,,,,,,,,,
nicais.com,inactive,200,,,,,,,,,,,,,
nicbbqa.com,inactive,200,,,,,,,,,,,,,
irctclogin.co.in,inactive,0,,,,,,,,,,,,,
niclauger.com,inactive,200,,,,,,,,,,,,,
nicapritshop.com,inactive,200,,,,,,,,,,,,,
nicnacmedia.com,inactive,200,,,,,,,,,,,,,
feinicsbioscience.com,inactive,200,,,,,,,,,,,,,
shopnbs.co.uk,inactive,200,,,,,,,,,,,,,
sbilv.com,inactive,404,,,,,,,,,,,,,
hdsolfc.com,inactive,404,,,,,,,,,,,,,
infy-nic.com,inactive,200,,,,,,,,,,,,,
sbiov.com,related,200,SBI,1.0,"URL,SEM,CONTENT,FAV,RDAP",Document,https://sbiov.com/favicon.ico,999.0,,1923,2025-11-05T15:03:19Z,"104.21.87.146,172.67.169.230",0.0,0.0,0.6045361757278442
sbilife.info,related,200,SBI,1.0,"URL,SEM,CONTENT,FAV,RDAP",Parked Domain name on Hostinger DNS system,https://sbilife.info/favicon.ico,999.0,,1636,2025-11-07T15:27:23.387Z,84.32.84.32,0.0,1.0,0.2816680669784546
icicidirect.xyz,inactive,403,,,,,,,,,,,,,
sbianalytiq.com,related,200,SBI,1.0,"URL,SEM,CONTENT,FAV,RDAP",Welcome to nginx!,https://sbianalytiq.com/favicon.ico,999.0,,1910,2025-11-07T10:43:00Z,"172.67.136.97,104.21.54.72",0.0,0.0,0.37612682580947876
sbifinity.com,related,200,SBI,1.0,"URL,SEM,CONTENT,FAV,RDAP",Welcome to nginx!,https://sbifinity.com/favicon.ico,999.0,,1910,2025-11-07T10:49:13Z,"104.21.14.60,172.67.158.27",0.0,0.0,0.4248236417770386
nicaspoon.my,inactive,403,,,,,,,,,,,,,
nicarex.com,related,200,NIC,1.5,"URL,SEM,CONTENT,FAV,RDAP","Nica Rex – 🚢 Nicarex | Envíos y Logística China – Nicaragua Expertos en transporte, carga y fletes internacionales. Conectamos tus compras en China con Nicaragua 🇨🇳➡️🇳🇮 Seguridad, rapidez y atención personalizada.",https://nicarex.com/wp-content/uploads/2025/11/cropped-WhatsApp-Image-2025-11-07-at-3.16.39-PM-32x32.jpeg,22.0,,1636,2025-11-07T22:33:10Z,"88.222.243.32,91.108.106.234",1.0,0.0,0.1518172323703766
niclasmiller.com,inactive,403,,,,,,,,,,,,,
nichlaas.com,related,200,NIC,1.5,"URL,SEM,CONTENT,FAV,RDAP",nichlaas - Link in Bio & Creator Tools | Beacons,https://nichlaas.com/logo_icon.png,26.0,,625,2025-11-07T14:36:00Z,34.49.161.242,1.0,0.0,0.37509459257125854
nic-stop.com,inactive,0,,,,,,,,,,,,,
pnbkpst.bond,inactive,200,,,,,,,,,,,,,
nicholsbiopharma.com,related,200,SBI,1.0,"URL,SEM,CONTENT,FAV,RDAP",Cloudflare,https://nicholsbiopharma.com/favicon.ico,999.0,,1910,2025-11-07T18:14:46Z,"104.21.81.91,172.67.141.83",0.0,0.0,0.37820595502853394
nicti.com,inactive,403,,,,,,,,,,,,,
nicacinetv.com,related,200,NIC,1.5,"URL,SEM,CONTENT,FAV,RDAP",NicaCine TV - IPTV al Alcance de Todos,http://nicacinetv.com/assets/images/favicon.ico,26.0,,269,2025-11-04T12:36:45Z,5.182.209.136,1.0,0.0,0.4538571834564209
sbimatrix.com,related,200,SBI,1.0,"URL,SEM,CONTENT,FAV,RDAP",【会場開催】日本各地からお届け！投資アカデミー＠仙台 | セミナー情報一覧 | 楽天証券,https://sbimatrix.com/favicon.ico,999.0,,1910,2025-11-07T08:32:45Z,"104.21.4.196,172.67.154.48",0.0,0.0,0.4665224552154541
pnblast.com,inactive,0,,,,,,,,,,,,,
iocl.store,inactive,0,,,,,,,,,,,,,
sbiowlm.sbs,inactive,0,,,,,,,,,,,,,
pndnb.com,inactive,0,,,,,,,,,,,,,
pnb-protect.pro,inactive,0,,,,,,,,,,,,,
nichowaf.pro,inactive,0,,,,,,,,,,,,,
sbisec-jp.co,inactive,0,,,,,,,,,,,,,
airtel-pay.asia,inactive,0,,,,,,,,,,,,,
icicibankbif.com,inactive,0,,,,,,,,,,,,,
pnbsu624.top,inactive,0,,,,,,,,,,,,,
npnbi.com,inactive,0,,,,,,,,,,,,,
sbipov.com,inactive,0,,,,,,,,,,,,,
