Domain,Best_CSE,CSE_Score,Keyword_Hits,len_url,dots,hyphens,digits,susp_tld
airtel-in.org,Airtel,1.074,Airtel,13,1,1,0,0
iocl.online,IOCL,1.056,IOCL,11,1,0,0,0
pnbad.com,PNB,1.03,PNB,9,1,0,0,0
sbi-lab.info,SBI,1.021,SBI,12,1,1,0,0
sbi-lab.com,SBI,1.017,SBI,11,1,1,0,0
bank-sbi.com,SBI,0.997,SBI,12,1,1,0,0
pnbit.com,PNB,0.995,PNB,9,1,0,0,0
iocl.store,IOCL,0.989,IOCL,10,1,0,0,0
sbiwind.com,SBI,0.983,SBI,11,1,0,0,0
hdfcbank.vip,HDFC,0.953,HDFC,12,1,0,0,0
pnb-protect.pro,PNB,0.943,PNB,15,1,1,0,0
hdfcloanservies.in,HDFC,0.932,HDFC,18,1,0,0,0
pnbbrkc.sbs,PNB,0.929,PNB,11,1,0,0,0
sbiov.com,SBI,0.925,SBI,9,1,0,0,0
sbivx.com,SBI,0.923,SBI,9,1,0,0,0
sbiwealth.com,SBI,0.921,SBI,13,1,0,0,0
pjdpnb.sbs,PNB,0.913,PNB,10,1,0,0,0
sbivr.com,SBI,0.913,SBI,9,1,0,0,0
sbimn.com,SBI,0.912,SBI,9,1,0,0,0
sbi-tz.com,SBI,0.911,SBI,10,1,1,0,0
sbiuled.com,SBI,0.903,SBI,11,1,0,0,0
nicti.com,NIC,0.902,NIC,9,1,0,0,0
sbio.net,SBI,0.901,SBI,8,1,0,0,0
airtelmail.in.net,Airtel,0.9,Airtel,17,2,0,0,0
sbiuage.com,SBI,0.892,SBI,11,1,0,0,0
nic-os.com,NIC,0.889,NIC,10,1,1,0,0
pnbfrw.bond,PNB,0.889,PNB,11,1,0,0,0
nicali.me,NIC,0.889,NIC,9,1,0,0,0
sbifinity.com,SBI,0.885,SBI,13,1,0,0,0
nicais.com,NIC,0.879,NIC,10,1,0,0,0
sbiverse.com,SBI,0.877,SBI,12,1,0,0,0
sbiftorbit.com,SBI,0.877,SBI,14,1,0,0,0
sbivr.net,SBI,0.875,SBI,9,1,0,0,0
icicibankbif.com,ICICI,0.871,ICICI,16,1,0,0,0
pnbar9o.sbs,PNB,0.867,PNB,11,1,0,1,0
sbinins.sbs,SBI,0.866,SBI,11,1,0,0,0
nic-bot.info,NIC,0.866,NIC,12,1,1,0,0
niclinn.com,NIC,0.864,NIC,11,1,0,0,0
sbilv.com,SBI,0.863,SBI,9,1,0,0,0
nichowaf.pro,NIC,0.861,NIC,12,1,0,0,0
pnbpr7.bond,PNB,0.86,PNB,11,1,0,1,0
sbindustries.pro,SBI,0.859,SBI,16,1,0,0,0
ioclzgw.bond,IOCL,0.858,IOCL,12,1,0,0,0
online-iciciprulife.com,ICICI,0.857,ICICI,23,1,1,0,0
sbifintech.com,SBI,0.855,SBI,14,1,0,0,0
pnbkgdq.sbs,PNB,0.854,PNB,11,1,0,0,0
airtel-pay.asia,Airtel,0.854,Airtel,15,1,1,0,0
gm-sbi.co.in,SBI,0.853,SBI,12,2,1,0,0
sbifinera.com,SBI,0.85,SBI,13,1,0,0,0
nicvl.ru,NIC,0.849,NIC,8,1,0,0,0
pnblast.com,PNB,0.849,PNB,11,1,0,0,0
sbikxj.sbs,SBI,0.848,SBI,10,1,0,0,0
sbina.id,SBI,0.847,SBI,8,1,0,0,0
nicbbqa.com,NIC,0.846,NIC,11,1,0,0,0
sbisec.org,SBI,0.842,SBI,10,1,0,0,0
pnbrpf.bond,PNB,0.842,PNB,11,1,0,0,0
sbipov.com,SBI,0.839,SBI,10,1,0,0,0
ioca.ch,IOCL,0.837,,7,1,0,0,0
nichher.com,NIC,0.837,NIC,11,1,0,0,0
npnbi.com,PNB,0.835,PNB,9,1,0,0,0
nic-bot.com,NIC,0.833,NIC,11,1,1,0,0
sbianalytiq.com,SBI,0.833,SBI,15,1,0,0,0
nicsys.org,NIC,0.832,NIC,10,1,0,0,0
sbisaving.in,SBI,0.832,SBI,12,1,0,0,0
icicidirect.xyz,ICICI,0.832,ICICI,15,1,0,0,1
nicali.co,NIC,0.83,NIC,9,1,0,0,0
nicbbqa.org,NIC,0.83,NIC,11,1,0,0,0
nicacinetv.com,NIC,0.827,NIC,14,1,0,0,0
nicaspoon.my,NIC,0.826,NIC,12,1,0,0,0
sbikabuai.com,SBI,0.826,SBI,13,1,0,0,0
nichi.web.id,NIC,0.826,NIC,12,2,0,0,0
sbivisor.com,SBI,0.824,SBI,12,1,0,0,0
nic-stop.com,NIC,0.824,NIC,12,1,1,0,0
3pnb.com,PNB,0.823,PNB,8,1,0,1,0
hdsolfc.com,HDFC,0.822,,11,1,0,0,0
sbicrypto.pro,SBI,0.819,SBI,13,1,0,0,0
pnbsu624.top,PNB,0.818,PNB,12,1,0,3,1
nicali.us,NIC,0.817,NIC,9,1,0,0,0
nichibara.com,NIC,0.813,NIC,13,1,0,0,0
